========================================
 PHASE 2: GRPO REINFORCEMENT LEARNING   
========================================
Loading Phase 1 Brain via MMAP from /opt/rishabh_experimental/rishabh_final.pt...
Initializing ZERO-VRAM SGD Optimizer (lr=1e-4)...
Starting GRPO Loop!
/usr/lib/python3.11/contextlib.py:105: FutureWarning: `torch.backends.cuda.sdp_kernel()` is deprecated. In the future, this context manager will be removed. Please see `torch.nn.attention.sdpa_kernel()` for the new context manager, with updated signature.
  self.gen = func(*args, **kwds)
RL Step 1 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.6s | Prob: A train travels at 63 km/h for... | Ans: 73.0
RL Step 72 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 44 km/h for... | Ans: 61.0
RL Step 73 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 64 km/h for... | Ans: 76.38
RL Step 74 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 54 km/h for... | Ans: 57.43
RL Step 75 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 53 km/h for... | Ans: 60.33
RL Step 76 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 74 km/h for... | Ans: 70.57
RL Step 77 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 80 km/h for... | Ans: 74.5
RL Step 78 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 61 km/h for... | Ans: 86.33
RL Step 79 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 61 km/h for... | Ans: 66.71
RL Step 80 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 43 km/h for... | Ans: 82.29
RL Step 81 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 46 km/h for... | Ans: 63.0
RL Step 82 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.4s | Prob: A train travels at 72 km/h for... | Ans: 77.14
RL Step 83 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 59 km/h for... | Ans: 81.78
RL Step 84 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 80 km/h for... | Ans: 86.8
RL Step 85 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 47 km/h for... | Ans: 69.14
RL Step 86 | Loss: 0.0078 | Avg Reward: 0.45 | Time: 8.3s | Prob: A train travels at 75 km/h for... | Ans: 78.71
RL Step 87 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 72 km/h for... | Ans: 81.33
RL Step 88 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 58 km/h for... | Ans: 61.0
RL Step 89 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 51 km/h for... | Ans: 68.33
RL Step 90 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 63 km/h for... | Ans: 68.14
RL Step 91 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 69 km/h for... | Ans: 81.67
RL Step 92 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 59 km/h for... | Ans: 64.67
RL Step 93 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 59 km/h for... | Ans: 69.67
RL Step 94 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 62 km/h for... | Ans: 80.5
RL Step 95 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 50 km/h for... | Ans: 64.57
RL Step 96 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 65 km/h for... | Ans: 63.8
RL Step 97 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 70 km/h for... | Ans: 77.0
RL Step 98 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 49 km/h for... | Ans: 58.0
RL Step 99 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 41 km/h for... | Ans: 62.11
RL Step 100 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 61 km/h for... | Ans: 73.67
RL Step 101 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 78 km/h for... | Ans: 81.6
RL Step 102 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 51 km/h for... | Ans: 77.0
RL Step 103 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 80 km/h for... | Ans: 70.0
RL Step 104 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 62 km/h for... | Ans: 80.57
RL Step 105 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 78 km/h for... | Ans: 79.11
RL Step 106 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 41 km/h for... | Ans: 55.67
RL Step 107 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 61 km/h for... | Ans: 69.0
RL Step 108 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 66 km/h for... | Ans: 64.29
RL Step 109 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 63 km/h for... | Ans: 69.0
RL Step 110 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 58 km/h for... | Ans: 70.14
RL Step 111 | Loss: -0.0156 | Avg Reward: 0.17 | Time: 8.2s | Prob: A train travels at 46 km/h for... | Ans: 55.5
RL Step 112 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 64 km/h for... | Ans: 66.5
RL Step 113 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 77 km/h for... | Ans: 68.25
RL Step 114 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 54 km/h for... | Ans: 78.67
RL Step 115 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 68 km/h for... | Ans: 73.62
RL Step 116 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 71 km/h for... | Ans: 70.14
RL Step 117 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 56 km/h for... | Ans: 69.12
RL Step 118 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 49 km/h for... | Ans: 58.75
RL Step 119 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 77 km/h for... | Ans: 86.29
RL Step 120 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 55 km/h for... | Ans: 63.89
RL Step 121 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 58 km/h for... | Ans: 71.67
RL Step 122 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 75 km/h for... | Ans: 88.2
RL Step 123 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 78 km/h for... | Ans: 68.67
RL Step 124 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 62 km/h for... | Ans: 74.0
RL Step 125 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 57 km/h for... | Ans: 82.2
RL Step 126 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 46 km/h for... | Ans: 58.78
RL Step 127 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 62 km/h for... | Ans: 64.4
RL Step 128 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 72 km/h for... | Ans: 71.4
RL Step 129 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 59 km/h for... | Ans: 77.5
RL Step 130 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 77 km/h for... | Ans: 78.33
RL Step 131 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 48 km/h for... | Ans: 51.71
RL Step 132 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 43 km/h for... | Ans: 59.8
RL Step 133 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 74 km/h for... | Ans: 83.38
RL Step 134 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 65 km/h for... | Ans: 77.0
RL Step 135 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 70 km/h for... | Ans: 70.0
RL Step 136 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 73 km/h for... | Ans: 72.0
RL Step 137 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 69 km/h for... | Ans: 80.88
RL Step 138 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 71 km/h for... | Ans: 70.71
RL Step 139 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 60 km/h for... | Ans: 60.29
RL Step 140 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 59 km/h for... | Ans: 73.0
RL Step 141 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 55 km/h for... | Ans: 77.5
RL Step 142 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 72 km/h for... | Ans: 67.0
RL Step 143 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 53 km/h for... | Ans: 57.29
RL Step 144 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 56 km/h for... | Ans: 58.25
RL Step 145 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 52 km/h for... | Ans: 58.25
RL Step 146 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 79 km/h for... | Ans: 79.0
RL Step 147 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 54 km/h for... | Ans: 79.62
RL Step 148 | Loss: 0.0176 | Avg Reward: 0.17 | Time: 8.2s | Prob: A train travels at 60 km/h for... | Ans: 61.0
RL Step 149 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 45 km/h for... | Ans: 55.0
RL Step 150 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 51 km/h for... | Ans: 68.14
RL Step 151 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 70 km/h for... | Ans: 78.29
RL Step 152 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 58 km/h for... | Ans: 59.71
RL Step 153 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.4s | Prob: A train travels at 41 km/h for... | Ans: 51.86
RL Step 154 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 45 km/h for... | Ans: 50.0
RL Step 155 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 50 km/h for... | Ans: 65.0
RL Step 156 | Loss: -0.0156 | Avg Reward: 0.17 | Time: 8.0s | Prob: A train travels at 78 km/h for... | Ans: 76.0
RL Step 157 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 59 km/h for... | Ans: 64.25
RL Step 158 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 71 km/h for... | Ans: 65.5
RL Step 159 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 63 km/h for... | Ans: 68.0
RL Step 160 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 68 km/h for... | Ans: 69.14
RL Step 161 | Loss: 0.0586 | Avg Reward: 0.17 | Time: 8.2s | Prob: A train travels at 41 km/h for... | Ans: 65.67
RL Step 162 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 60 km/h for... | Ans: 78.5
RL Step 163 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 61 km/h for... | Ans: 61.75
RL Step 164 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 71 km/h for... | Ans: 77.67
RL Step 165 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 80 km/h for... | Ans: 77.6
RL Step 166 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 52 km/h for... | Ans: 60.5
RL Step 167 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 45 km/h for... | Ans: 59.33
RL Step 168 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 59 km/h for... | Ans: 66.29
RL Step 169 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 42 km/h for... | Ans: 52.0
RL Step 170 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 60 km/h for... | Ans: 72.0
RL Step 171 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 61 km/h for... | Ans: 61.5
RL Step 172 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 43 km/h for... | Ans: 63.5
RL Step 173 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 41 km/h for... | Ans: 64.12
RL Step 174 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 73 km/h for... | Ans: 73.0
RL Step 175 | Loss: 0.0312 | Avg Reward: 0.17 | Time: 8.2s | Prob: A train travels at 67 km/h for... | Ans: 82.5
RL Step 176 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 70 km/h for... | Ans: 88.67
RL Step 177 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 74 km/h for... | Ans: 85.11
RL Step 178 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 51 km/h for... | Ans: 57.43
RL Step 179 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 56 km/h for... | Ans: 69.14
RL Step 180 | Loss: -0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 68 km/h for... | Ans: 77.0
RL Step 181 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 64 km/h for... | Ans: 76.89
RL Step 182 | Loss: 0.0002 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 51 km/h for... | Ans: 65.8
RL Step 183 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 76 km/h for... | Ans: 84.33
RL Step 184 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 45 km/h for... | Ans: 67.0
RL Step 185 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 74 km/h for... | Ans: 76.5
RL Step 186 | Loss: 0.0098 | Avg Reward: 0.17 | Time: 8.2s | Prob: A train travels at 49 km/h for... | Ans: 62.0
RL Step 187 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.2s | Prob: A train travels at 61 km/h for... | Ans: 79.0
RL Step 188 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 74 km/h for... | Ans: 82.57
RL Step 189 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.4s | Prob: A train travels at 41 km/h for... | Ans: 73.78
RL Step 190 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 40 km/h for... | Ans: 55.62
RL Step 191 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 77 km/h for... | Ans: 83.88
RL Step 192 | Loss: 0.0352 | Avg Reward: 0.17 | Time: 8.1s | Prob: A train travels at 48 km/h for... | Ans: 66.0
RL Step 193 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.1s | Prob: A train travels at 56 km/h for... | Ans: 62.4
RL Step 194 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 65 km/h for... | Ans: 73.57
RL Step 195 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 45 km/h for... | Ans: 65.57
RL Step 196 | Loss: 0.0001 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 75 km/h for... | Ans: 82.14
RL Step 197 | Loss: 0.0000 | Avg Reward: -0.10 | Time: 8.3s | Prob: A train travels at 68 km/h for... | Ans: 65.38
